species
boletus_edulis
boletus_pinophilus
boletus_reticulatus
cantharellus_cibarius
cortinarius_caperatus
craterellus_cornucopioides
craterellus_tubaeformis
hydnum_repandum
lactarius_deliciosus
lactarius_deterrimus
lactarius_rufus
lactarius_torminosus
lactarius_trivialis
leccinum_aurantiacum
leccinum_versipelle
leccinum_vulpinum
russula_claroflava
russula_decolorans
russula_paludosa
suillus_luteus
suillus_variegatus
